document,sentence,cosine_with_dovish,cosine_with_hawkish
20180321.txt,"In coming months, as those earl ier declines drop out of the calculation, inflation should move up closer to 2 percent and stabilize around that level over the medium term.",0.315386,0.805133
20180321.txt,"Of course, various forces will continue to affect inflation.",0.747995,0.438968
20180321.txt,"A t times it may be above 2 percent, just as at times  it may be below.",0.665141,0.448764
20180321.txt,Our inflation objective is symmetric in the sense that we are trying to prevent persistent deviations from 2 percent in either direction.,0.777892,0.703314
20180321.txt,"Based on the projections that Committee participants submitted for this meeting, the median project ion for the growth of inflation- adjusted GDP is 2.7 percent this year, 2.4 percent next year, and 2 percent in 2020, a bit above its estimated longer -run rate.",0.607757,0.677645
20180321.txt,"The median projection for unemployment —for the unemployment rate stands at 3.8 percent in the f ourth quarter of this year and runs at 3.6 percent over the next two years, almost a percentage point below the median estimate of its longer -run normal rate.",0.331643,0.282785
20180321.txt,"Finally, the median inflation projection is 1.9 percent this year, 2 percent next year, and 2.1 percent in 2020.",0.707946,0.477526
20180321.txt,"Compared with the projections made in December, real GDP growth is stronger, the unemployment rate is lower, and inflation is slightly higher.",0.406810,0.716723
20180321.txt,"As I noted earlier, today’s decision to raise the federal funds rate is another step in the process of gradually scaling back monetary policy accommodation as the economic expansion

March 21,

continues.",0.743014,0.594515
20180321.txt,"This gradual process has been under way for more than two years , and it has served —and should continue to serve —the economy well.",0.477959,0.669883
20180321.txt,"In making our policy decisions over the next few years, we will continue to aim for inflation of 2 percent while sustaining the economic expansion and a strong labor market.",0.624816,0.773141
20180321.txt,"In the Committee’s view, further gradual increases in the federal funds rate will best promote these goals.",0.578553,0.809102
20180321.txt,"By contrast, raising rates too slowly  would raise the risk that monetary policy would need to tighten abruptly down the road, which could jeopardize the economic expansion.",0.386686,0.428574
20180321.txt,"At the same time, we want to avoid inflation running persistently below our  objective, which could leave us with less scope to counter an economic downturn in the future.",0.453815,0.392763
20180321.txt,Participants’ projections of the appropriate path for the federal funds rate reflect our gradual approach.,0.768391,0.476033
20180321.txt,"The median projection for the federal funds rate is 2.1 percent at the end of this year, 2.9 percent at the end of 2019, and 3.4 percent at the end of 2020.",0.695196,0.335325
20180321.txt,"By 2020, the median federal funds rate is modestly above its estimated longer -run trend.",0.543628,0.748702
20180321.txt,"Most participants revised up their projections since Decembe r, although the median projection for this year did not change.",0.651209,0.441415
20180321.txt,The medians for 2019 and 2020 are somewhat higher than in December.,0.428737,0.702103
20180321.txt,"Of course, we’ll be watching how the economy evolves in the months and years ahead relative to our maximum employment and p rice stability objectives.",0.758068,0.498855
20180321.txt,"If the outlook changes, we will adjust monetary policy appropriately.",0.845640,0.528165
20180321.txt,"Finally, I’ll note that our program for reducing our balance sheet, which began in October, is proceeding smoothly.",0.452966,0.751503
20180321.txt,"Barring a very significant and unexpected weakening in the outlook, we do not intend to alter this program.",0.694911,0.431808
20180321.txt,"As we’ve said, changing the target range for the federal funds rate is our primary means of adjusting the stance of monetary policy.",0.802267,0.414733
20180321.txt,"As always, the Committee would be prepared to use its full range of tools if future economic conditions

March 21,

were to warrant a more accommodative monetary policy than can be achieved solely by reducing the federal funds rate.",0.771430,0.621952
20180321.txt,"Thank you, and I’ll be happy to take your questions now.",0.559587,0.316882
20180321.txt,STEVE LIESMAN.,0.481762,0.015618
20180321.txt,"Mr. Chairman —rig ht, the microphone.",0.515769,0.088706
20180321.txt,"Mr. Chairman, welcome.",0.502400,0.213182
20180321.txt,Interesting changes in the forecast.,0.569399,0.398044
20180321.txt,"A higher growth forecast a full point above the long run, lower unemployment seven -tenths  below the long run, a nd yet very little change in inflation.",0.556042,0.714918
20180321.txt,What does that say ab out what you and the Committee believe about the inflation dynamic ?,0.640829,0.182388
20180321.txt,"And how is it that, in that context, you justify three rate hikes this year —and I sense there’ll be three next year —and a full $600 billion, I guess, annual rate decline in the balance sheet?",0.413298,0.292014
20180321.txt,Where's your biggest concern here?,0.514690,0.091617
20180321.txt,Is it in overkill when it comes to rates or underkill?,0.596942,0.147691
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"So, you’re right that the outlook did improve, as I mentioned and as you—as was in your question.",0.366516,0.665964
20180321.txt,"The Committee ’s estimates of growth went u p, the Committee ’s estimates of unemployment went down, and there was a very slight increase in inflation.",0.491710,0.388464
20180321.txt,"And I think that reflects, essentially —if you think back to the era after the crisis, unemployment was 10 percent.",0.383318,0.259659
20180321.txt,It’s now 4.1 percent.,0.429617,0.408746
20180321.txt,You ’ve only seen very gradual upward pressures on inflation and wages despite that very large increase.,0.554554,0.566938
20180321.txt,And that suggests that the relationship between changes in slack and inflation is not so tight.,0.663857,0.560276
20180321.txt,"But, it has diminished, but it ’s still there.",0.513141,0.401721
20180321.txt,"So I think when you see those small changes in unemployment, that simply reflects the, you know, the flatness of the Phillips curve, if you will.",0.646453,0.330911
20180321.txt,STEVE LIESMAN.,0.481762,0.015618
20180321.txt,"And your biggest concern or your biggest risk here —is it doing too much, doing too little?",0.505015,0.144228
20180321.txt,"CHAIRMAN POWEL L.  You know, I think we ’re trying to, we ’re trying to be, to take the middle ground there.",0.602839,0.383538
20180321.txt,"So, you know, on the one hand, the risk would be that we wait too

March 21,

long, and then we have to raise rates quickly , and that foreshortens the expansion.",0.693963,0.558541
20180321.txt,We don’ t want to do that.,0.569453,0.155016
20180321.txt,"The —on the other side, if we —if we raise rates too quickly, inflation, then, really doesn ’t get sustainably up to 2 percent , and, that will hurt us going forward.",0.325670,0.338242
20180321.txt,"We need that, and it ’s, you know, we need to make sure that inflation expecta tions are anchored at 2  percent .",0.722912,0.561715
20180321.txt,"So we ’re trying to take that middle ground, and the Committee continues to believe that the middle ground consists of further gradual increases in the federal funds rate as long as the economy is broadly on this path.",0.701565,0.741770
20180321.txt,NICK TIMIRAOS.,0.469041,0.014151
20180321.txt,Thanks.,0.500434,0.319605
20180321.txt,I’m Nick Timiraos of the Wall Street Journal.,0.477738,0.044490
20180321.txt,"Chair Powell, I want to ask about the symmetric inflation target—what you outlined in your remarks as preventing persistent deviations.",0.765383,0.466577
20180321.txt,I want to understand what symmetry means in the  context of inflation b eing allowed to run above the 2 percent  target now that that ’s part of the projection for—at least for core PCE next year.,0.733729,0.545069
20180321.txt,How do you define symmetric relative to the experience of the past five years?,0.621886,0.206371
20180321.txt,Would the Fed be willing to a ccept the type of overshoot of its target as it has seen during the undershoot?,0.721139,0.458798
20180321.txt,And how high above 2 percent is too high to maintain a target that is symmetric?,0.668334,0.331483
20180321.txt,"Is it 2¼, 2½, 2¾ ?",0.481893,0.092621
20180321.txt,"And also, for how long?",0.518753,0.052336
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"You know, so as you noted, the —what we ’ve said in the longer -run statement of goals and monetary policy strategy is that we would be concerned with sustained or persistent deviations of inflation either above or below.",0.742401,0.470686
20180321.txt,We ’ve also said —in minutes and in speeches and things like that —that  that is a symmetric objective.,0.666313,0.340144
20180321.txt,"So, that ’s how we think of it.",0.605315,0.138113
20180321.txt,"And, I think it ’s—I wouldn’ t characterize what we ’ve done over the last five years as tolerating, you know, an undershoot of inflation.",0.651481,0.555611
20180321.txt,"We were always pushing toward 2 percent , and I think that is how we look at it.",0.702331,0.469502
20180321.txt,I can ’t give you an exact number.,0.541657,0.039082
20180321.txt,"It just, you know, it, we haven ’t agreed on that.",0.581359,0.204102
20180321.txt,"It just is that we ’re always going to be seeking 2 percent

March 21,

inflation.",0.679779,0.324336
20180321.txt,"And in doing that, we ’re going to be considering, by the way , the other side of the mandate.",0.681581,0.419712
20180321.txt,"You know, we have to balance that against the deviation of employment from — unemployment from its goal.",0.663393,0.492514
20180321.txt,"And —and also , just the duration of it as well.",0.599706,0.111100
20180321.txt,JIM PUZZANGHERA.,0.466463,0.031903
20180321.txt,"Hi, Mr. Chairman.",0.497929,0.280639
20180321.txt,"Jim Puzzanghera with the L.A. Time s.  Even with the extra fiscal stimulus of the tax cuts, your median growth projection is just up to 2.7 percent, and then—this year —and then drops back down to 2 percent by 2020.",0.636980,0.360490
20180321.txt,Is the continued talk in Washington about tax cuts bring ing growth to 3 per cent or higher on a sustained basis overselling their potential impact?,0.444018,0.554746
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"You know, let me say what that really is.",0.560733,0.092581
20180321.txt,So the Summary of Economic Projections  is really a compilation of the individual rate forecasts.,0.591337,0.041070
20180321.txt,"The C ommittee made really  one decision at this meeting, and that was to raise the federal funds rate by 25 basis points.",0.681410,0.559252
20180321.txt,The Summary of Economic Projections is individual forecasts compiled and written down.,0.569351,-0.010180
20180321.txt,"And, you ’ve identified the median as 2.7 percent .",0.594303,0.277472
20180321.txt,I would—and that ’s an interesting statistic .,0.582060,0.351032
20180321.txt,I would also say that the central tendency is interesting.,0.672127,0.377337
20180321.txt,The full range is interesting.,0.580563,0.266036
20180321.txt,So you have a range of views around the table.,0.570880,0.186874
20180321.txt,"One of the great benefits of our system is that we do have R eserve Banks with their own s taffs and Governors with different views , and so we discuss these things.",0.649936,0.381295
20180321.txt,"So the C ommittee doesn ’t vote or agree upon the medians, so you ’re going to have a range of views.",0.623851,0.178804
20180321.txt,"That ’s really all I can say —2.7 just happens to be the median for ’ 18, but it doe sn’t really say, you know, what we think is possible.",0.598028,0.227968
20180321.txt,JIM PUZZANGHERA.,0.466463,0.031903
20180321.txt,But do you think you can get to 3 percent on a sustained basis?,0.540201,0.526677
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"You know, I would say it ’s hard to say, but it would take —you know, that is well above almost all estimates, current estimates of potential long -run growth.",0.610559,0.546868
20180321.txt,"It

March 21,

would take, you know, significant increases in productivity and labor force participation to get there.",0.488522,0.677791
20180321.txt,JEANNA SMIALEK.,0.470217,0.014406
20180321.txt,"Hi, Jeanna Smialek with Bloomberg New s.  So obviously you guys reduced your NAIRU  estimate s slightly  today, but if you continue to see job gains around 200,000 a month, primary labor participation rising slightly, pretty sustainably, you know, moderate wage increases, at what point are you guys going to start to question whether y ou’re actually overshooting full employment?",0.294768,0.416922
20180321.txt,"And, if you start to question that, how is that going to impact policy?",0.593592,0.180935
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,So I guess I ’d start by saying that the natural rate of unemployment is not something that we can observe directly.,0.631445,0.224212
20180321.txt,"We look at a wide range of indicators on that —you know, 15 or 20 of them at least .",0.622253,0.257816
20180321.txt,"And also, I think we all understand that any point estimate is surrounded by very wide uncertainty bands .",0.703733,0.321180
20180321.txt,"So as the —as the actual unemployment rate has declined  from 10 perce nt to 4.1 percent , the Committee ’s median estimate of the natural rate of unemployment has also declined by a full percentage point.",0.247731,0.297780
20180321.txt,"So the Committee —and , I think, people —are generally influenced by data.",0.658353,0.265110
20180321.txt,"As they see unemployment going lower, they ’re loo king at a variety of aspects of the labor market, including wage inflation and price inflation.",0.480089,0.195583
20180321.txt,"So I don’ t think we, we —we ’re mindful of the uncertainty of that, and we ’ll be looking at that.",0.675302,0.357059
20180321.txt,"So, as —if inflation —if unemployment does continue to go down, we ’ll continue to do that.",0.567380,0.532541
20180321.txt,"As I mentioned earlier, there is no —there’ s no sense in the data that we ’re on the cusp of an acceleration of inflation.",0.474901,0.529862
20180321.txt,"We have seen moderate increases in wages and price inflation, and we seem to be seeing more of that.",0.386560,0.725269
20180321.txt,We’ll be alert to that.,0.681562,0.413410
20180321.txt,"I guess the idea —the theory would be that if you get below the sustainable rate of unemployment for a sustained

March 21,

period, you would see an acceleration of inflation.",0.578797,0.522725
20180321.txt,"So we would know that then, a nd we ’re very alert to it, but it’ s not something we observe at the present.",0.663970,0.182942
20180321.txt,SAM FLEMING.,0.448079,0.063864
20180321.txt,Thanks very much.,0.479522,0.392963
20180321.txt,Sam Fleming from Financial Times.,0.416080,0.100530
20180321.txt,You and other policymakers have talked about headwinds turning into tailwinds recently.,0.510888,0.338190
20180321.txt,"Does that imply that you think now a higher neutral rate of interest is operative in the U.S. economy, and how would you assess the implications for monetary policy?",0.705607,0.478749
20180321.txt,"And s econd question—this is obviously your first press conference, so it ’s a little early to ask this question, but would you like to do this more ofte n?",0.576899,0.189676
20180321.txt,Thanks.,0.500434,0.319605
20180321.txt,CHAIRMAN POWELL.,0.497450,0.112670
20180321.txt,"Longer -run values like the neutral rate of interest, the natural rate of unemployment, the potential growth rate of the economy are pinned down by slow - moving forces over time.",0.526048,0.137108
20180321.txt,So they don’ t—they don’t  move around very much.,0.533686,0.044303
20180321.txt,"So I wouldn’ t expect the Committee ’s, you know, predictions or projections or estimates of those values to move quickly.",0.670627,0.265669
20180321.txt,They ’ll move slowly.,0.648154,0.316571
20180321.txt,"So is it possible that the neutral rate of interest would move up because of, for example, greater fiscal expan sion?",0.563372,0.655180
20180321.txt,There’ s literature that says that.,0.550540,0.184919
20180321.txt,There’s —there are reasons that that might be the case.,0.618905,0.350795
20180321.txt,"In fact, it did tick  up one -tenth , as you all know, in the —in the median at this time.",0.398587,0.567311
20180321.txt,"But it’ s—I think, generally speaking, the Committee sees the neutral rate of interest as still quite low and is not—is not seeing it as having moved up and is open to the possibility that it will.",0.714621,0.601770
20180321.txt,SAM FLEMING.,0.448079,0.063864
20180321.txt,And p ress conferences ?,0.524158,0.111933
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"Ah, press conferences.",0.522245,0.122026
20180321.txt,So that ’s something that I ’m go ing to be carefully considering.,0.686498,0.360313
20180321.txt,I have not made a decision about it.,0.612935,0.130504
20180321.txt,My colleagues and I are committed to communicating as clearly as possible about what we ’re doing and why we ’re doing it.,0.635441,0.421875
20180321.txt,"I would want to think very carefully about it and make sure that no one would take more

March 21,

frequent press conferences as a signal of the path of policy.",0.737555,0.375741
20180321.txt,"And so, it is  something that I ’ll be thinking about.",0.601053,0.271686
20180321.txt,ADAM SHAPIRO.,0.460223,0.032932
20180321.txt,Adam Shapiro with the Fox Business Network .,0.439263,0.024415
20180321.txt,"You brought up the fiscal stimulus and the impact it’ s having, and I was curious , how is the change in the federal budget deficit —because the stimulus is coming with great debt —has it changed your approach to how many securities you ’re going to allow to roll off the balance sheet, and is there a level of Treasury supply at which the Fed would consider adjusting its balance sheet roll -off, given how much the U.S. government ’s going to have to borrow going forward?",0.672810,0.354906
20180321.txt,"And, then a second question, things beyond your control —the President  is expected to announce  new tariffs against China, and does  the Committee discuss what potential impacts that could have in regards to inflation ?",0.656911,0.314206
20180321.txt,And do you have a timeline as to how you would respond to that?,0.616699,0.181838
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"So, in terms of the balance sheet, we ’ve said that , you know, we carefully developed this plan .",0.680763,0.464863
20180321.txt,We carefully socialized it in a series of meetings last year.,0.631970,0.317583
20180321.txt,"We announced it, and we said we wouldn’ t change it , really , unless there were a significant downturn that required, you know, meaningful reductions in interest rates.",0.685431,0.601681
20180321.txt,And I have no inclination to revisit that.,0.638979,0.200858
20180321.txt,"We ’re going to use monetary policy as the principle tool of adjusting, you know, our policy.",0.705923,0.382435
20180321.txt,"So, on the second question, on tariffs, a number of participants in this FOMC did bring up the is sue of tariffs, and if I could summarize what came out of that , it was, first, that there ’s no thought, I think, that changes in trade policy should have any effect on the current outlook.",0.673668,0.327927
20180321.txt,"Second thing is, I would say , is that a number of participants rep orted in —about their conversations with business leaders around the country and reported that trade policy has become a concern going forward for that group.",0.581164,0.362833
20180321.txt,"March 21,

MART IN CRUTSINGER.",0.488327,0.045689
20180321.txt,Marty Crutsinger with the Associated Press.,0.454136,0.059199
20180321.txt,You talked about the fact that th e Summary of Economic Projections is based on the outlook of all the members of the FOMC.,0.678731,0.227128
20180321.txt,"Can you tell us anything, though, about the staff forecast and how that was impacted by the—we had a $1½ trillion tax cut, w e’ve had $300 billion  in increased government spending —the staff forecast that you ’re working with, are those reflected —how were they impacted by that?",0.607589,0.265816
20180321.txt,And how did that impact the discussions?,0.537941,0.050229
20180321.txt,CHAIRIMAN POWELL.,0.481597,0.089655
20180321.txt,"So w e look at the staff forecasts and the Board forecasts —and , by the way, the re are 12 excellent Reserve Bank staffs who have their own views and do their own work—w e look at those as informing the decisions of the policymakers.",0.629948,0.215189
20180321.txt,So —and it ’s really the policymakers ’ views that we talk about in the SEP .,0.638071,0.197784
20180321.txt,"We don’ t—we do n’t, you know, talk about the staff forecast.",0.616769,0.089899
20180321.txt,It’s a particular thing under —done under particular rules and circumstances .,0.624644,0.096666
20180321.txt,"And, really, it ’s the policymakers that then take that as input and create their forecasts , which are what drive policy.",0.631959,0.222460
20180321.txt,MART IN CRUTSINGER.,0.471422,0.157948
20180321.txt,"That had no impact, though?",0.455860,0.196568
20180321.txt,"It’s s uch a—that ’s a major increase in government stimulus that you ’re—that had to have  had an impact on the discussions, I would think, though.",0.659497,0.458985
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"Well , the—you’re right.",0.411183,0.328520
20180321.txt,"So fiscal stimulus is a, y ou know, a meaningful input into, you know, into the SEP and particularly in the changes over the course of last year and this year.",0.645157,0.510559
20180321.txt,"And individual policymakers went through, with their staffs, a range of estimates, a range of literature, and did their ow n thinking and came up with their own estimates and submitted those as their Summary of Economic Projections —as their projections.",0.624947,0.153004
20180321.txt,Those are not the staff ’s projections.,0.595860,0.040522
20180321.txt,Those are our projections.,0.645185,0.208585
20180321.txt,"March 21,

HEATHER LONG.",0.485469,0.059575
20180321.txt,"Heather Long, Washington Post .",0.445718,0.042513
20180321.txt,I—what wil l it take to get to four rate hikes this year?,0.633240,0.491992
20180321.txt,"It ’s clear from the dot plot that many members do think four would be appropriate, but clearly something was holding a number of the FOMC members back.",0.542374,0.358244
20180321.txt,Is it concerns about these potential trade tariffs that  are going into effect?,0.570026,0.226465
20180321.txt,Is it just that people want to wait and see a little longer before they raise?,0.511546,0.028324
20180321.txt,Can you give us some more insight into why people didn’ t go to four this time —the media n—even though the economic projections look very healthy?,0.594202,0.372322
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"I would go back to the thought that, you know, we made one decision at this meeting , and that decision was to raise the federal funds rate by 25  basis points.",0.672621,0.485103
20180321.txt,The projections are really just individual projections t hat ar e submitted and then compiled.,0.554515,-0.018503
20180321.txt,"And, you know, you ’re mentioning the median as being, you know, three and four being close , but, you know, I think, like any set of forecasts, those forecasts will change over time, and they ’ll change depending on the way the outlook for th e economy changes.",0.661445,0.289388
20180321.txt,So that ’s really all I can say.,0.541427,0.101543
20180321.txt,It could change up.,0.533846,0.209881
20180321.txt,It could change down.,0.568718,0.219794
20180321.txt,"I wouldn’ t want to —for now, these are the best forecasts that people could make , and, you know, it could be that if the economy ’s a little bit stronger or a li ttle bit weaker, then the path could be a little less gradual or a little more gradual.",0.663207,0.469365
20180321.txt,HEATHER LONG.,0.453865,0.036089
20180321.txt,So it wasn ’t one factor that was pulling at the heart of the discussion ?,0.570400,0.215369
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"Not, no .",0.480549,0.260852
20180321.txt,JIM TANKERSLEY.,0.424214,0.030875
20180321.txt,"Mr. Chairman, a quick follow on the trade question, and then a productivity question.",0.595838,0.119829
20180321.txt,"On trade, what would have to happen in policy —and, in particular , in potential retaliation from countries around the world—for trade policy to become a concern for the Committee ’s outlook?",0.524203,0.216234
20180321.txt,"And then, the second question is , you mentioned productivity growth

March 21,

earlier.",0.568655,0.248170
20180321.txt,"What ’s your current assessment of the path of productivity growth, and has anything in policy —any policy change in recent months changed that assessment?",0.633230,0.312253
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"You know, for trade, what I mentioned is that our FOMC participants reported in that they had heard, you know, concerns , which were relatively new , about —about  future trade actions, really.",0.567491,0.365762
20180321.txt,And they ’re seeing it as a risk -to-the-outlook kind of thing.,0.652873,0.341561
20180321.txt,"So —and the kind of thi ngs people are talking about would be, you know, more widespread retaliation and more widespread actions  back -and-forth kind of thing.",0.580631,0.146296
20180321.txt,I can ’t be any more specific than that.,0.590221,0.139661
20180321.txt,"In terms of productivity —productivity, as I ’m sure you know, has been very weak  since the financial crisis.",0.145609,0.034998
20180321.txt,"It’s averaged only about 0.5 percent a year for the last six years , I guess.",0.597416,0.333316
20180321.txt,"So that’s well below, you know, longer -run averages, and it would certainly be a good thing to see it move up.",0.446243,0.726095
20180321.txt,"It has moved up just a little bit but not , kind of , decisively.",0.530332,0.617872
20180321.txt,"And, you know, you asked me about fiscal policy and the connection to productivity.",0.604000,0.249648
20180321.txt,I think in the tax bill there’s —there are incentives for —there— a tax cut bill that allows expensing of investments should encourage additional i nvestment that should encourage productivity.,0.521946,0.583438
20180321.txt,"In theory, an individual tax bill that lowers tax rates should encourage more labor force participation.",0.562076,0.702693
20180321.txt,So I do think it ’s very important that we have a focus on productivity in the country.,0.647546,0.553026
20180321.txt,"It’s not something that we can really do at the Fed , but, you know, we ’re certainly hopeful that there will be supply -side effects like that from the tax bill.",0.601014,0.554869
20180321.txt,I think estimates are really all over the place in terms of the amount and the timing of those.,0.622215,0.243027
20180321.txt,"JONATHAN SPICE R.  Chairman Powell, Jonathan Spicer with Reuters.",0.492321,0.096807
20180321.txt,"I take your caveats on the dot plot , as it were, but I ’ll ask another question.",0.594060,0.148873
20180321.txt,"In 2020, it shows that policymakers expect the policy rate to get up almost to 3½ percent , which is quite a ways —or,

March 21,

defini tively , anyways —above the neutral rate.",0.352881,0.746302
20180321.txt,Does that increase the risk of a Fed -induced recession and decrease the risk of a soft landing?,0.511248,0.518109
20180321.txt,"Which is asking , in a way , about the fiscal policy .",0.682272,0.300970
20180321.txt,"And, as a follow -up, is that fiscal stimulus starting to lead to questions within the F ed around this narrative of secular stagnation and the economy entering a new sort of “ low rates ” environment?",0.539022,0.314077
20180321.txt,Thanks.,0.500434,0.319605
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"You know, I would say that —remember that forecasts  three years out —so, you’ re righ t, in 2020 there ’s a—I think it’s 3.4 percent  is the median of the SEP dots for 2020, which is 40 basis points above the estimates of the neutral rate, which I would characterize as, you know, modestly restrictive, modestly  tightening policy, but that’ s three years in the future.",0.710572,0.497626
20180321.txt,It’s highly uncertain.,0.576523,0.224431
20180321.txt,"You know, we don’ t have the ability to see that far into the future, so I really wouldn ’t put a lot in that.",0.642386,0.242318
20180321.txt,It could make sense.,0.531123,0.209436
20180321.txt,"You could imagine narratives in which that  would make sense, but I honestly I wouldn’ t put too much on that.",0.624750,0.233650
20180321.txt,"Sorry, your second question was?",0.511287,0.111914
20180321.txt,JONATHAN SPICER.,0.498769,0.058013
20180321.txt,The second question was whether the secular stagnation narrative— whether fiscal policy is being questioned by the Fed around that ?,0.619947,0.264484
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,"You know, we ’ve been throug h many years of growth around 2 percent , and I ’ve given a number of public remarks where I ’ve called on, you know, the country to focus more on potential growth and productivity and labor force participation, wh ich drive potential growth.",0.643389,0.545632
20180321.txt,"So, you know, I think it ’s really important that we do something —do what we can as a country to increase our  potential growth rate.",0.529921,0.666590
20180321.txt,"I would say in the bill that passed Congress, the Tax Cuts and Jobs A ct, there were elements t hat should encourag e productivity, as I mentioned—sorry, encourage investment, which should help productivity, encourage labor force participation.",0.605237,0.479501
20180321.txt,We don’ t know how big those effects are going to be.,0.576645,0.237606
20180321.txt,"We don’ t know what

March 21,

the timing would be.",0.599015,0.045939
20180321.txt,"I think , as you look around the table at the FOMC, there ’s a wide range of views on the amount and the timing of those.",0.656821,0.299580
20180321.txt,I think all of us would agree that we hope that they will be large.,0.602516,0.549174
20180321.txt,MICHAEL DERBY.,0.452174,0.069982
20180321.txt,Hi.,0.439088,0.153750
20180321.txt,Mike Derby from Dow Jones Newswires .,0.418975,0.022693
20180321.txt,I have a question about the future of the mechanics of monetary policy.,0.657505,0.218204
20180321.txt,I wanted to know whether you favor sticking with the system that you have now of keeping interest on ex cess reserves and reverse repo—the reverse repo rate to control interest rates —or do you want to s hift back to the old way of doing things at  some point of targeting the fed funds market?,0.663038,0.230298
20180321.txt,"And do you have any concern that if you do sti ck with the current system that , as rates rise, that you might see issues where the Fed is under —is being criticized fo r paying out ever larger shares of money to banks  to, you know, to control interest rates that some might perceive as a subsidy to the banks that are getting this money?",0.645665,0.351739
20180321.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180321.txt,Sure.,0.528740,0.284571
20180321.txt,Our current framework for implementing monetary policy is wor king very well.,0.729802,0.537890
20180321.txt,"We have excellent contro l over rates, and it ’s working.",0.454452,0.618196
20180321.txt,And it’s— you described it accurately.,0.579080,0.247712
20180321.txt,We haven ’t made a deci sion to keep that as our longer -run framework.,0.704025,0.270480
20180321.txt,We haven ’t really addressed that question.,0.620717,0.172199
20180321.txt,"We ’ve had meetings where we’ ve talked about it, and we ’ve agre ed that it’ s working well.",0.501193,0.639887
20180321.txt,But it’ s—and it ’s not something I see us as needing to urgently address.,0.676121,0.333882
20180321.txt,I think we ’re continuing to learn about this framework.,0.592080,0.470028
20180321.txt,"For example, one —in the long -run, the size of the balance sheet  is going to depend on the public ’s demand for our liabilities , including currency and reserves.",0.728834,0.355087
20180321.txt,"So we don’ t know what the demand is for reserves in a world where you have —you know, you have regulations that require banks to hold lot s of high- quality liquid assets, and reserves are one of those.",0.637855,0.190779
20180321.txt,So it ’s not something we ’re looking at resolving in the near  term.,0.710284,0.346094
20180321.txt,"March 21,

You mentioned the question of interest on excess reserves, and I think it ’s a little bit of a misnomer to think that there ’s a subsidy there.",0.638509,0.334791
20180321.txt,We pay interest on excess reserves.,0.583876,0.134113
